Accuracy,F1 Score
0.8674540682414698,0.8644175958265758
0.8881889763779528,0.8851190471618027
0.8871391076115485,0.8838736014510846
0.8811023622047245,0.877394580794733
0.8824146981627295,0.8787197097577037
0.8824146981627295,0.8787457563250408
0.8829396325459318,0.8792171850891893
0.8818897637795274,0.8780984638363354
0.8803149606299213,0.8763623763980363
0.8800524934383201,0.8761714845537627
0.879265091863517,0.8752557803200309
0.879002624671916,0.8750054669723971
0.879002624671916,0.8749982450107243
0.8813648293963254,0.8773965248478695
0.8811023622047245,0.8770165272145654
0.8829396325459318,0.8788006612792312
0.8834645669291337,0.879418913354192
0.8824146981627295,0.8783609696939132
0.8811023622047243,0.876969716269603
0.8821522309711286,0.8780736595359308
0.8813648293963254,0.8771343196678665
0.8837270341207348,0.8796533658328629
0.8824146981627295,0.8782518215376209
0.8816272965879264,0.8774565991870571
0.8813648293963254,0.8771447096686724
