Accuracy,F1 Score
0.9920357142857144,0.9857695733256879
0.9920357142857144,0.987519274169429
0.9937402597402597,0.9857861866863414
0.9948798701298701,0.9846544953723747
0.9954480519480521,0.9829510960263107
0.9948798701298701,0.981800220044415
0.9943116883116883,0.9829931967815094
0.9937402597402597,0.9801301905362877
0.9931688311688311,0.9776840332533057
0.9931688311688311,0.9770726936541096
0.9914642857142857,0.9742424801799334
0.9903279220779222,0.9743368739916727
0.9903311688311689,0.9714335012369067
0.9903344155844156,0.9679359910657725
0.9903376623376623,0.9667894987929818
0.9903376623376623,0.9662023775808606
0.9897694805194804,0.9644043026463226
0.9903376623376623,0.9650273125335046
0.9892012987012988,0.9632455042020578
0.9892012987012988,0.9621343930909465
0.9886298701298701,0.962079392965513
0.9880616883116883,0.9598396914963224
0.9880616883116884,0.9580228903206283
0.9869253246753248,0.9557075532010086
0.9863538961038962,0.9528687778914984
